Date,Uber,Taxis
07/01/14,"21,228","440,655"
07/02/14,"26,480","434,416"
07/03/14,"21,597","412,980"
07/04/14,"14,148","306,773"
07/05/14,"10,890","305,653"
07/06/14,"11,443","310,376"
07/07/14,"18,280","374,578"
07/08/14,"25,763","430,482"
07/09/14,"27,817","443,822"
07/10/14,"30,541","451,208"
07/11/14,"28,752","453,967"
07/12/14,"25,936","442,979"
07/13/14,"21,082","406,279"
07/14/14,"27,350","412,054"
07/15/14,"33,845","432,325"
07/16/14,"28,620","444,308"
07/17/14,"30,710","451,940"
07/18/14,"29,860","455,255"
07/19/14,"25,726","441,026"
07/20/14,"21,212","394,270"
07/21/14,"23,578","394,920"
07/22/14,"29,029","442,945"
07/23/14,"34,203","461,755"
07/24/14,"32,050","456,722"
07/25/14,"29,975","456,674"
07/26/14,"27,708","444,333"
07/27/14,"22,590","399,454"
07/28/14,"23,981","364,335"
07/29/14,"27,589","418,579"
07/30/14,"30,740","437,032"
07/31/14,"33,541","447,939"
08/01/14,"32,353","448,577"
08/02/14,"28,678","436,246"
08/03/14,"23,146","394,086"
08/04/14,"24,952","388,544"
08/05/14,"28,094","417,838"
08/06/14,"30,495","434,864"
08/07/14,"32,759","441,609"
08/08/14,"30,411","440,982"
08/09/14,"26,286","416,312"
08/10/14,"20,584","368,032"
08/11/14,"22,632","373,646"
08/12/14,"29,646","409,433"
08/13/14,"29,788","430,021"
08/14/14,"30,457","434,254"
08/15/14,"28,974","439,286"
08/16/14,"26,234","415,156"
08/17/14,"21,209","375,842"
08/18/14,"21,956","372,652"
08/19/14,"24,834","402,119"
08/20/14,"27,955","417,817"
08/21/14,"32,304","436,384"
08/22/14,"29,512","415,567"
08/23/14,"27,097","398,910"
08/24/14,"22,036","360,342"
08/25/14,"22,093","354,456"
08/26/14,"24,550","385,522"
08/27/14,"27,018","411,357"
08/28/14,"28,597","410,299"
08/29/14,"27,424","406,737"
08/30/14,"23,930","373,161"
08/31/14,"23,271","349,421"
09/01/14,"19,961","316,080"
09/02/14,"28,831","405,137"
09/03/14,"32,631","436,909"
09/04/14,"38,360","464,560"
09/05/14,"42,319","491,597"
09/06/14,"40,520","498,687"
09/07/14,"30,134","441,151"
09/08/14,"30,360","426,013"
09/09/14,"34,560","445,940"
09/10/14,"35,910","461,689"
09/11/14,"36,439","473,585"
09/12/14,"39,540","481,786"
09/13/14,"43,205","509,480"
09/14/14,"28,122","446,339"
09/15/14,"29,454","417,686"
09/16/14,"36,092","443,230"
09/17/14,"35,531","446,201"
09/18/14,"40,274","459,159"
09/19/14,"41,017","483,660"
09/20/14,"38,864","488,090"
09/21/14,"28,620","397,763"
09/22/14,"28,312","389,058"
09/23/14,"30,316","396,844"
09/24/14,"31,301","412,595"
09/25/14,"38,203","422,624"
09/26/14,"37,504","444,105"
09/27/14,"39,468","482,615"
09/28/14,"29,656","429,068"
09/29/14,"29,201","396,191"
09/30/14,"33,431","431,354"
